name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-09-26,95.1,77.0,86.4,102.5,77.0,91.5,72.6,65.8,0.0,0,0.0,,0.0,2.9,245.4,21.2,10.0,3.2,4.5,15.2,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-27,96.8,80.0,89.3,109.1,85.4,99.1,74.9,64.1,0.0,0,0.0,,20.8,2.6,235.5,20.3,10.0,3.3,4.5,10.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-28,98.6,82.4,89.2,114.4,90.8,101.0,76.6,67.8,0.0,0,0.0,,33.2,2.6,204.6,17.8,30.0,3.3,4.5,13.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-29,97.2,80.6,88.5,114.6,86.1,99.3,76.0,67.6,0.008,100,8.33,rain,17.3,2.7,204.2,17.6,30.0,3.3,4.5,12.8,Rain,Clear conditions throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-30,90.6,73.4,81.9,101.6,73.4,87.8,76.0,83.2,0.266,100,33.33,rain,80.6,2.1,186.3,16.2,30.0,3.2,4.4,10.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-01,92.2,76.8,83.2,102.3,76.8,88.7,75.7,79.9,0.004,100,4.17,rain,61.8,2.2,185.4,15.9,10.0,3.3,4.5,10.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-02,92.9,77.1,83.4,107.5,77.1,89.7,76.5,81.0,0.696,100,37.5,rain,61.3,2.3,177.2,15.3,30.0,3.3,4.5,11.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-03,89.8,77.0,83.2,100.5,77.0,88.9,75.3,78.5,0.004,100,4.17,rain,46.4,2.6,190.4,16.5,30.0,3.3,4.5,10.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-04,92.0,78.9,84.5,102.7,78.9,91.3,74.6,73.5,0.0,0,0.0,,30.4,2.2,214.9,18.4,10.0,3.3,4.4,12.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-05,92.3,76.8,84.0,104.1,76.8,89.8,74.5,74.5,0.0,0,0.0,,20.3,2.9,215.7,18.6,10.0,3.3,4.5,17.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139,remote",obs,,,
india,2025-10-06,81.4,71.6,74.2,86.1,71.6,74.4,70.7,89.1,1.135,100,75.0,rain,90.5,2.2,110.1,9.6,10.0,3.4,4.5,17.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-07,84.4,69.8,73.8,90.3,69.8,74.6,69.8,88.5,0.525,100,75.0,rain,81.4,2.1,123.4,10.8,10.0,4.0,4.8,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-08,78.8,69.0,72.9,78.8,69.0,72.9,68.5,86.6,0.016,100,8.33,rain,60.1,1.9,165.8,14.1,10.0,3.8,4.9,11.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-09,84.2,68.0,75.4,86.9,68.0,76.0,67.2,77.4,0.004,100,4.17,rain,27.3,2.3,214.2,18.4,10.0,3.6,4.8,11.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-10,84.2,66.9,74.7,85.3,66.9,75.1,64.5,72.9,0.0,0,0.0,,18.2,2.4,216.3,18.7,10.0,3.6,4.8,8.7,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-11,85.4,67.0,75.4,87.9,67.0,75.9,65.7,73.8,0.0,0,0.0,,22.1,2.2,209.8,18.1,10.0,3.5,4.8,8.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-12,87.8,68.7,77.6,88.4,68.7,77.8,66.0,70.5,0.0,0,0.0,,9.5,2.1,226.2,19.6,10.0,3.5,4.7,11.2,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-13,89.2,68.0,77.4,89.6,68.0,77.7,65.1,69.0,0.0,0,0.0,,7.6,2.1,224.7,19.3,10.0,3.4,4.6,9.2,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-10-14,89.0,68.0,77.7,87.9,68.0,77.6,62.4,62.8,0.0,0,0.0,,0.0,2.3,225.9,19.6,10.0,3.4,4.6,9.8,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
